eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
76.8,-0.8399999737739563,4866.0,0.005904180463403463,0.0657958984375,2.6324880123138428,-0.009672512300312519,0.06920278817415237,0.5254284739494324,15.0,3840.0,89.55528973392211,245760.0
76.07,-0.3700000047683716,4734.0,0.004842573311179876,0.0558675117790699,2.640538454055786,-0.009730427525937557,0.0598386712372303,0.4564075469970703,16.0,4096.0,93.01648177788593,262144.0
80.39,-0.9700000286102295,4504.0,0.005009366665035486,0.0545247383415699,2.622288227081299,-0.009551319293677807,0.08165846019983292,0.5462457239627838,17.0,4352.0,96.65521647990681,278528.0
73.06,0.0,4630.0,0.006442664656788111,0.0758056640625,2.599500894546509,-0.01041752751916647,0.06757352501153946,0.5227816700935364,18.0,4608.0,100.19466216606088,294912.0
83.83,-0.05000000074505806,4466.0,0.006104323547333479,0.0782674178481102,2.5939619541168213,-0.012097523547708988,0.06583764404058456,0.45258259773254395,19.0,4864.0,103.86402350687422,311296.0
79.33,0.14000000059604645,4436.0,0.008203432895243168,0.1084187850356102,2.584791421890259,-0.010130960494279861,0.06381089985370636,0.5261175036430359,20.0,5120.0,107.5575533490628,327680.0
78.29,0.23000000417232513,4566.0,0.009164205752313137,0.124267578125,2.5789976119995117,-0.010447767563164234,0.05626751109957695,0.38184690475463867,21.0,5376.0,111.14648381993175,344064.0
76.71,0.3799999952316284,4506.0,0.0067170471884310246,0.0802815780043602,2.561969041824341,-0.013814914971590042,0.05578652396798134,0.41908806562423706,22.0,5632.0,114.78274965006858,360448.0
80.85,0.4099999964237213,4556.0,0.00829942524433136,0.1118367537856102,2.5616090297698975,-0.009969796054065228,0.05099046602845192,0.475330114364624,23.0,5888.0,118.37918561790138,376832.0
82.38,0.4099999964237213,4430.0,0.009028192609548569,0.1195882186293602,2.559873104095459,-0.013509822078049183,0.04174897074699402,0.5002386569976807,24.0,6144.0,122.07835759501904,393216.0
82.76,0.8899999856948853,4519.0,0.009439799003303051,0.1322224885225296,2.5380260944366455,-0.01399798784404993,0.042575404047966,0.3932095766067505,25.0,6400.0,125.70508086588234,409600.0
78.78,0.8299999833106995,4448.0,0.008875713683664799,0.1215413436293602,2.5193660259246826,-0.013176418840885162,0.04278917983174324,0.4183610677719116,26.0,6656.0,129.38892285292968,425984.0
83.33,0.8600000143051147,4548.0,0.010838053189218044,0.1446329802274704,2.5233523845672607,-0.013395211659371853,0.045630693435668945,0.4578191637992859,27.0,6912.0,132.99210231890902,442368.0
78.51,0.8700000047683716,4166.0,0.010818950831890106,0.1535441130399704,2.5239789485931396,-0.01255343109369278,0.04060365632176399,0.516195148229599,28.0,7168.0,136.92501053283922,458752.0
80.05,1.3799999952316284,4239.0,0.009932238608598709,0.13250732421875,2.5060501098632812,-0.009453007020056248,0.03660818561911583,0.6372404992580414,29.0,7424.0,140.79046982503496,475136.0
79.65,1.409999966621399,4559.0,0.010786697268486023,0.1485188752412796,2.477562189102173,-0.01192241907119751,0.04410669580101967,0.6217080056667328,30.0,7680.0,144.38470455794595,491520.0
91.39,1.690000057220459,4491.0,0.011128994636237621,0.1521199494600296,2.458357095718384,-0.010868191719055176,0.03946999832987785,0.6802081167697906,31.0,7936.0,148.03332560393028,507904.0
92.71,1.75,4608.0,0.01139533519744873,0.15313720703125,2.45219349861145,-0.00871605146676302,0.04324885830283165,0.6693970859050751,32.0,8192.0,151.58950886595994,524288.0
85.7,1.6299999952316284,4841.0,0.013724579475820065,0.1788330078125,2.442190408706665,-0.014125959016382694,0.040082816034555435,0.6817167699337006,33.0,8448.0,154.97431886591949,540672.0
81.97,1.4600000381469727,4578.0,0.011534672230482101,0.1515095978975296,2.445996046066284,-0.016648389399051666,0.04203003644943237,0.633933812379837,34.0,8704.0,158.55360257904977,557056.0
90.9,1.840000033378601,4452.0,0.010229307226836681,0.1368204802274704,2.44490909576416,-0.010850909166038036,0.04224945604801178,0.6980981230735779,35.0,8960.0,162.23410833394155,573440.0
95.37,2.25,4456.0,0.011543486267328262,0.1554158478975296,2.4234282970428467,-0.013761397451162338,0.04469281807541847,0.6748861372470856,36.0,9216.0,165.9140122618992,589824.0
105.92,2.140000104904175,4574.0,0.013408946804702282,0.1819051057100296,2.4025049209594727,-0.013118862174451351,0.04552749916911125,0.6925019025802612,37.0,9472.0,169.49658339493908,606208.0
109.48,2.369999885559082,4586.0,0.010174715891480446,0.1369425505399704,2.3887271881103516,-0.012181955389678478,0.050573255866765976,0.6920064091682434,38.0,9728.0,173.06948047690094,622592.0
110.51,2.940000057220459,4446.0,0.011575687676668167,0.1572469025850296,2.3732821941375732,-0.01493515819311142,0.053679004311561584,0.6919122934341431,39.0,9984.0,176.75560868903995,638976.0
122.52,3.180000066757202,4543.0,0.010967008769512177,0.1473388671875,2.3779287338256836,-0.011905346065759659,0.0663757398724556,0.6902143955230713,40.0,10240.0,180.36211852100678,655360.0
122.52,2.940000057220459,4490.0,0.010402879677712917,0.14501953125,2.3861639499664307,-0.013399433344602585,0.06148156523704529,0.7108382284641266,41.0,10496.0,184.0117808189243,671744.0
129.39,3.5899999141693115,4207.0,0.014730997383594513,0.1927286833524704,2.368123769760132,-0.01089854259043932,0.10380613803863525,0.6262711882591248,42.0,10752.0,187.90640205191448,688128.0
151.06,4.099999904632568,4459.0,0.008080015890300274,0.1063639298081398,2.3551247119903564,-0.011588622815907001,0.1338312178850174,0.5821540355682373,43.0,11008.0,191.58130657696165,704512.0
154.41,5.349999904632568,4678.0,0.011154389940202236,0.1395670622587204,2.3437421321868896,-0.007938866503536701,0.19506414234638214,0.5056003332138062,44.0,11264.0,195.08404190605506,720896.0
166.63,5.230000019073486,4875.0,0.010392989031970501,0.1377970427274704,2.357788324356079,-0.008186514489352703,0.15232588350772858,0.5499329566955566,45.0,11520.0,198.44574090605602,737280.0
183.48,6.289999961853027,4570.0,0.010917417705059052,0.14154052734375,2.357085943222046,-0.007581713143736124,0.22723644971847534,0.49685001373291016,46.0,11776.0,202.03189208405092,753664.0
161.59,4.670000076293945,4775.0,0.012813695706427097,0.1651814728975296,2.393665075302124,-0.006755737122148275,0.0985666885972023,0.6572568118572235,47.0,12032.0,205.46384894894436,770048.0
185.76,6.769999980926514,4838.0,0.010749686509370804,0.1431071013212204,2.3596231937408447,-0.007947503589093685,0.26022961735725403,0.5534282326698303,48.0,12288.0,208.8504818789661,786432.0
182.33,5.860000133514404,4481.0,0.012086507864296436,0.1561686247587204,2.3275156021118164,-0.004175911191850901,0.19552206993103027,0.6176075637340546,49.0,12544.0,212.5075426120311,802816.0
185.85,7.170000076293945,4348.0,0.008643404580652714,0.1104532852768898,2.3171775341033936,-0.00587506964802742,0.1886359602212906,0.6907658576965332,50.0,12800.0,216.27717303787358,819200.0
206.77,6.909999847412109,4625.0,0.00872971024364233,0.10516357421875,2.307422399520874,-0.00742156570777297,0.19260036945343018,0.7439416348934174,51.0,13056.0,219.8203997539822,835584.0
207.08,7.909999847412109,4898.0,0.01563885621726513,0.1893513947725296,2.319021701812744,-0.0011703899363055825,0.2029140591621399,0.7378720045089722,52.0,13312.0,223.16609476902522,851968.0
219.52,9.0600004196167,4843.0,0.011816750280559063,0.1461995393037796,2.314892053604126,-0.0024286925327032804,0.2298111468553543,0.7856414616107941,53.0,13568.0,226.54995804396458,868352.0
195.89,6.670000076293945,4273.0,0.009650838561356068,0.1263020783662796,2.2943832874298096,-0.006588612217456102,0.1706702560186386,0.7623225152492523,54.0,13824.0,230.38430128386244,884736.0
227.9,8.550000190734863,4154.0,0.009646759368479252,0.1256103515625,2.3036410808563232,-0.007405114825814962,0.18116338551044464,0.7992614954710007,55.0,14080.0,234.32884863903746,901120.0
242.98,10.949999809265137,4703.0,0.008112953044474125,0.0978190079331398,2.2694056034088135,-0.0054910010658204556,0.26270049810409546,0.816441610455513,56.0,14336.0,237.8131803618744,917504.0
242.31,9.329999923706055,4444.0,0.009904430247843266,0.1270548552274704,2.300452947616577,-0.01155997533351183,0.15966054797172546,0.7706022262573242,57.0,14592.0,241.50090700294822,933888.0
258.15,11.0,4574.0,0.011323031969368458,0.1421712189912796,2.2762632369995117,-0.005421429872512817,0.2683042883872986,0.8178786039352417,58.0,14848.0,245.08341566706076,950272.0
276.31,13.270000457763672,4691.0,0.013077561743557453,0.1663004606962204,2.285820722579956,-0.005997588858008385,0.22464917600154877,0.8344841301441193,59.0,15104.0,248.57667933986522,966656.0
249.2,10.970000267028809,4357.0,0.0091023538261652,0.11602783203125,2.2754225730895996,-0.008816678076982498,0.19386617839336395,0.8175163716077805,60.0,15360.0,252.33777802693658,983040.0
263.64,12.130000114440918,4354.0,0.01111848559230566,0.1453857421875,2.2821662425994873,-0.005409711971879005,0.2453889697790146,0.8445470780134201,61.0,15616.0,256.1019002508838,999424.0
274.38,12.949999809265137,4462.0,0.012978282757103443,0.16497802734375,2.254695177078247,-0.005556358490139246,0.25894895195961,0.8374658524990082,62.0,15872.0,259.7742037109565,1015808.0
259.53,12.899999618530273,4562.0,0.008852746337652206,0.1136881485581398,2.2742106914520264,-0.009025984443724155,0.2514258921146393,0.8503406196832657,63.0,16128.0,263.3656841418706,1032192.0
285.79,15.489999771118164,4756.0,0.007860904559493065,0.0978800430893898,2.2373924255371094,-0.00723765604197979,0.29794955253601074,0.8481594771146774,64.0,16384.0,266.8118323648814,1048576.0
284.1,13.65999984741211,4701.0,0.01015866082161665,0.12945556640625,2.285146713256836,-0.00988655723631382,0.2178596407175064,0.8555037677288055,65.0,16640.0,270.2973495409824,1064960.0
287.59,13.369999885559082,4727.0,0.012417610734701157,0.1582845002412796,2.2366790771484375,-0.008247658610343933,0.2745729088783264,0.8538166284561157,66.0,16896.0,273.7638517189771,1081344.0
310.38,14.460000038146973,4616.0,0.008306421339511871,0.0999348983168602,2.2420008182525635,-0.008180885575711727,0.35926905274391174,0.8172826766967773,67.0,17152.0,277.31408992386423,1097728.0
296.67,13.859999656677246,4581.0,0.010532098822295666,0.1350911408662796,2.253309726715088,-0.010258938185870647,0.24445009231567383,0.8466365188360214,68.0,17408.0,280.8915671838913,1114112.0
282.4,14.270000457763672,4491.0,0.012732365168631077,0.15313720703125,2.201716184616089,-0.0013346616178750992,0.4932374954223633,0.8356229066848755,69.0,17664.0,284.540421735961,1130496.0
299.56,14.65999984741211,4484.0,0.00873656664043665,0.1130167618393898,2.262418508529663,-0.011218603700399399,0.23825109004974365,0.8433993458747864,70.0,17920.0,288.19454307085834,1146880.0
305.98,14.880000114440918,4437.0,0.009922238066792488,0.1312459260225296,2.2519478797912598,-0.009694099426269531,0.24128209054470062,0.838997408747673,71.0,18176.0,291.88847768399864,1163264.0
