eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/cluster_value_loss,loss/loss,loss/policy_entropy,loss/policy_loss,loss/skill_loss,loss/value_loss,loss/vq_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
155.28571428571428,4.285714149475098,254.0,0.004037870559841394,0.0654093399643898,0.0,0.04374265670776367,2.7040212154388428,-0.0009146591764874756,0.0037203598767518997,0.1433950662612915,0.23959992825984955,0.01493614912033081,1.0,256.0,64.38946799305268,16384.0
298.46153846153845,5.0,2568.0,0.003174600424245,0.0400390625,0.0,0.10331252962350845,2.704110860824585,-7.33406122890301e-05,0.0037220753729343414,0.26085397601127625,0.11508017033338547,0.13808822631835938,2.0,512.0,70.77007549884729,32768.0
372.29545454545456,4.545454502105713,2607.0,0.004605814348906279,0.0577596016228199,0.0,0.06577825546264648,2.700632095336914,-0.0012291348539292812,0.003716343082487583,0.18802742660045624,0.20684154331684113,0.2256259322166443,3.0,768.0,77.05475668492727,49152.0
543.71,4.0,2662.0,0.003650331636890769,0.02655029296875,0.0,0.2315756231546402,2.680832862854004,-0.0026274751871824265,0.003682750975713134,0.5220228433609009,0.7417362332344055,0.30308836698532104,4.0,1024.0,83.20829284004867,65536.0
383.04,4.199999809265137,2663.0,0.004240555688738823,0.0327962227165699,0.0,0.34989288449287415,2.6489975452423096,-0.003310516709461808,0.0036622171755880117,0.7593867182731628,1.1039303541183472,0.3205322027206421,5.0,1280.0,89.36099184397608,81920.0
226.34,4.5,2651.0,0.0055427514016628265,0.0474039725959301,0.0,0.3832260072231293,2.6323437690734863,-0.0032963298726826906,0.003646910423412919,0.8256915211677551,1.0172237157821655,0.38212913274765015,6.0,1536.0,95.54199365805835,98304.0
165.96,5.099999904632568,2595.0,0.0036416801158338785,0.02817789651453495,0.0,0.566335916519165,2.600891590118408,-0.0018460374558344483,0.0036438850220292807,1.188381552696228,1.0747405290603638,0.42342543601989746,7.0,1792.0,101.85421647690237,114688.0
109.64,5.699999809265137,2608.0,0.00681341951712966,0.07928466796875,0.0,0.692528247833252,2.533830404281616,-0.0015359224053099751,0.0036307834088802338,1.438805103302002,1.4910683631896973,0.4661713242530823,8.0,2048.0,108.13730461383238,131072.0
98.42,5.699999809265137,2600.0,0.003915788605809212,0.02337646484375,0.0,0.7862967848777771,2.5329782962799072,-0.0006353273056447506,0.003644022159278393,1.6245239973068237,1.2097928524017334,0.464571475982666,9.0,2304.0,114.44028517184779,147456.0
87.6,5.099999904632568,2560.0,0.0045794895850121975,0.02813720703125,0.0,0.7135331630706787,2.4878273010253906,-0.0017492715269327164,0.003638191381469369,1.4803214073181152,1.4509668350219727,0.49569910764694214,10.0,2560.0,120.84067375701852,163840.0
89.08,4.599999904632568,2564.0,0.0026034831535071135,0.010660807602107525,0.0,0.7067379355430603,2.4697036743164062,-0.0016497921897098422,0.0036369364243000746,1.4661694765090942,1.3843374252319336,0.5112284123897552,11.0,2816.0,127.23035034583881,180224.0
75.63,5.699999809265137,2615.0,0.0077399215660989285,0.0479532890021801,0.0,0.8134614825248718,2.419062852859497,0.0006903619505465031,0.0036076281685382128,1.673923134803772,1.5117441415786743,0.6150267124176025,12.0,3072.0,133.49864101898856,196608.0
73.33,5.699999809265137,2642.0,0.004116058349609375,0.02557373046875,0.0,0.7513155341148376,2.40659499168396,-0.0002893029886763543,0.0035744428168982267,1.5513415336608887,1.718183994293213,0.6835798025131226,13.0,3328.0,139.6995104670059,212992.0
89.53,5.400000095367432,2683.0,0.006165566388517618,0.04901123046875,0.0,0.5472082495689392,2.4071202278137207,-0.0016791486414149404,0.003560451092198491,1.1459174156188965,1.7777527570724487,0.7182289958000183,14.0,3584.0,145.80541605385952,229376.0
