eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
143.15151515151516,2.1212120056152344,300.0,0.001849551685154438,0.00421142578125,2.7062413692474365,-0.0024296832270920277,0.29136601090431213,0.031065404415130615,1.0,256.0,54.60842017293908,16384.0
225.07,3.0999999046325684,5297.0,0.002823214279487729,0.02703857421875,2.6920042037963867,-0.0018693002639338374,0.7475085258483887,0.05070573091506958,2.0,512.0,57.70600395393558,32768.0
190.73,3.0999999046325684,5204.0,0.002624449087306857,0.02290852926671505,2.678302526473999,-0.001943474169820547,0.9096261858940125,0.07377249002456665,3.0,768.0,60.85498038586229,49152.0
121.49,3.200000047683716,5005.0,0.004957703873515129,0.0428466796875,2.64705228805542,-0.003558868309482932,1.1922661066055298,0.12277394533157349,4.0,1024.0,64.12927951687016,65536.0
82.42,3.299999952316284,5433.0,0.006996212061494589,0.0627644881606102,2.5906765460968018,-0.006904574576765299,1.6184228658676147,0.14891046285629272,5.0,1280.0,67.14521816791967,81920.0
83.11,3.299999952316284,5250.0,0.0036789884325116873,0.0364786796271801,2.5634660720825195,-0.0027421731501817703,1.8367228507995605,0.17581278085708618,6.0,1536.0,70.26618766994216,98304.0
67.11,3.0,5432.0,0.0034629730507731438,0.02083333395421505,2.5272746086120605,-0.0018779067322611809,2.01934552192688,0.22718685865402222,7.0,1792.0,73.28264861390926,114688.0
53.32,4.0,5184.0,0.0062093413434922695,0.07989501953125,2.458998918533325,-0.0010325026232749224,2.139115571975708,0.23091989755630493,8.0,2048.0,76.44372059684247,131072.0
50.82,3.0999999046325684,5421.0,0.004489223938435316,0.0364786796271801,2.448193311691284,-0.0027518803253769875,2.096250295639038,0.27958452701568604,9.0,2304.0,79.46658869483508,147456.0
51.65,2.5999999046325684,5170.0,0.004113451577723026,0.02425130270421505,2.408402681350708,-0.002451258013024926,1.8372963666915894,0.3768531084060669,10.0,2560.0,82.63581863092259,163840.0
54.93,3.5,5380.0,0.005078252404928207,0.0378824882209301,2.3268990516662598,-0.001846769475378096,2.151857376098633,0.4063524007797241,11.0,2816.0,85.68128710705787,180224.0
43.36,3.799999952316284,5076.0,0.005240114405751228,0.04388427734375,2.2872321605682373,-0.0009768091840669513,2.1320714950561523,0.4259726405143738,12.0,3072.0,88.90951056894846,196608.0
39.78,3.5999999046325684,5417.0,0.0044764066115021706,0.02272542379796505,2.236971855163574,-0.0020821825601160526,2.0967397689819336,0.4837074875831604,13.0,3328.0,91.93446065904573,212992.0
40.79,3.299999952316284,5158.0,0.004825434647500515,0.0365193672478199,2.219550371170044,-0.0003786574525292963,1.9316586256027222,0.5012071132659912,14.0,3584.0,95.1118573199492,229376.0
46.74,3.9000000953674316,5369.0,0.003709775162860751,0.02166748046875,2.1969735622406006,-0.002085294108837843,1.9282227754592896,0.5454373955726624,15.0,3840.0,98.16381998592988,245760.0
