eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/cluster_value_loss,loss/loss,loss/policy_entropy,loss/policy_loss,loss/skill_loss,loss/value_loss,loss/vq_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.72,-3.3399999141693115,337.0,0.00504628149792552,0.0466105155646801,0.0,0.15652629733085632,2.703040361404419,-0.0005060902331024408,0.0037206748966127634,0.3681255578994751,0.2299700230360031,0.004374384880065918,1.0,256.0,48.49982251692563,16384.0
87.09,-3.0899999141693115,2627.0,0.0048948475159704685,0.0380655936896801,0.0,0.05314229428768158,2.702981948852539,-0.0018714017933234572,0.003722554072737694,0.16408701241016388,0.13135971128940582,0.030778110027313232,2.0,512.0,54.73814934794791,32768.0
77.96,-2.4100000858306885,2575.0,0.006776168942451477,0.0643107071518898,0.0,0.04920278117060661,2.688828229904175,-0.002011027419939637,0.003722165944054723,0.15620417892932892,0.16262614727020264,0.08960872888565063,3.0,768.0,61.10071638203226,49152.0
90.95,-2.1600000858306885,2607.0,0.005675654858350754,0.0478922538459301,0.0,0.042619626969099045,2.6786699295043945,-0.0006531697581522167,0.003721468150615692,0.14011897146701813,0.22848893702030182,0.16620951890945435,4.0,1024.0,67.38519342406653,65536.0
82.83,-2.240000009536743,2583.0,0.005112212151288986,0.0397745780646801,0.0,0.045102328062057495,2.679143190383911,-0.0003355217631906271,0.0037213547620922327,0.14445854723453522,0.2594134211540222,0.23275983333587646,5.0,1280.0,73.72810193896294,81920.0
79.41,-1.9800000190734863,2605.0,0.005303423386067152,0.03369140625,0.0,0.03003089688718319,2.6662039756774902,-9.300809324486181e-05,0.003719322383403778,0.1135718896985054,0.3247712254524231,0.3492034077644348,6.0,1536.0,80.0179561660625,98304.0
83.0,-2.2699999809265137,2581.0,0.006768941879272461,0.0564168281853199,0.0,0.039652008563280106,2.672496795654297,0.0003759681712836027,0.0037185808178037405,0.13200202584266663,0.3018881380558014,0.37850522994995117,7.0,1792.0,86.36887710588053,114688.0
84.66,-2.450000047683716,2595.0,0.006317757070064545,0.0615437813103199,0.0,0.03882187604904175,2.672999143600464,-0.00028191658202558756,0.0037180266808718443,0.13166753947734833,0.2559545338153839,0.39807748794555664,8.0,2048.0,92.68257513898425,131072.0
88.8,-2.8299999237060547,2520.0,0.006229746621102095,0.0620320625603199,0.0,0.031886231154203415,2.662156343460083,-0.00020298203162383288,0.003716026432812214,0.11742155998945236,0.24434204399585724,0.4348202347755432,9.0,2304.0,99.18393753189594,147456.0
81.59,-3.0399999618530273,2541.0,0.005041245836764574,0.0450032539665699,0.0,0.03373172879219055,2.6673800945281982,0.001303105498664081,0.003714046673849225,0.11820483952760696,0.25933459401130676,0.47703200578689575,10.0,2560.0,105.63270482909866,163840.0
83.84,-2.640000104904175,2562.0,0.006321998313069344,0.05126953125,0.0,0.02941032685339451,2.663668394088745,-0.00021767179714515805,0.0037134161684662104,0.11252937465906143,0.2635921835899353,0.47447896003723145,11.0,2816.0,112.02766058710404,180224.0
83.94,-3.130000114440918,2575.0,0.006034598220139742,0.0629679337143898,0.0,0.03211388736963272,2.6568448543548584,-1.3461991329677403e-05,0.00371122476644814,0.11739158630371094,0.2427668422460556,0.5149616599082947,12.0,3072.0,118.38960908493027,196608.0
84.46,-2.3299999237060547,2582.0,0.005883738398551941,0.0582275390625,0.0,0.024666285142302513,2.6534721851348877,-0.0013381174067035317,0.00369487632997334,0.10507825016975403,0.3702728748321533,0.5470510423183441,13.0,3328.0,124.73568716691807,212992.0
80.58,-2.4600000381469727,2555.0,0.005670115817338228,0.0558268241584301,0.0,0.0246932040899992,2.6632444858551025,-0.002203782554715872,0.0036734112072736025,0.10705887526273727,0.578548014163971,0.5436490178108215,14.0,3584.0,131.14653251809068,229376.0
84.75,-1.6799999475479126,2467.0,0.005549327936023474,0.0618082694709301,0.0,0.01792919635772705,2.6640639305114746,-0.003420245600864291,0.0036525537725538015,0.09598014503717422,0.5988125205039978,0.5482893884181976,15.0,3840.0,137.78758797608316,245760.0
78.85,-1.4600000381469727,2581.0,0.005722277332097292,0.0637410506606102,0.0,0.012643177062273026,2.650965452194214,-0.0040063331834971905,0.0036342956591397524,0.08631832152605057,0.5566169619560242,0.5397512018680573,16.0,4096.0,144.1350096820388,262144.0
