eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
58.11940298507463,3.2835819721221924,419.0,0.00034959556069225073,4.069010537932627e-05,2.7077343463897705,-0.0005156340193934739,0.6518515944480896,0.0022097229957580566,1.0,256.0,39.01134035689756,16384.0
83.49411764705883,3.2941176891326904,4262.0,0.00026984247961081564,0.0,2.70645809173584,-0.0005422283429652452,0.16946935653686523,0.03464627265930176,2.0,512.0,42.858851548982784,32768.0
130.8,3.700000047683716,4075.0,0.0006319628446362913,0.00026448568678461015,2.703502655029297,-0.0005715021979995072,0.25787535309791565,0.04362422227859497,3.0,768.0,46.88020503800362,49152.0
416.51,3.299999952316284,4108.0,0.001783692161552608,0.01123046875,2.6961514949798584,-0.0011995509266853333,0.4750559329986572,0.048849523067474365,4.0,1024.0,50.868804903002456,65536.0
512.14,2.799999952316284,4405.0,0.0011223363690078259,0.00341796875,2.6964190006256104,-0.0011763684451580048,0.34651413559913635,0.07221096754074097,5.0,1280.0,54.588483636965975,81920.0
319.36,3.700000047683716,4358.0,0.001055329106748104,2.0345052689663135e-05,2.696046829223633,-0.000696311704814434,0.6401455402374268,0.09948968887329102,6.0,1536.0,58.34836487285793,98304.0
270.15,3.9000000953674316,4263.0,0.0014289960963651538,0.0012003580341115594,2.6990346908569336,-0.002035460900515318,0.24869607388973236,0.15858447551727295,7.0,1792.0,62.192789708962664,114688.0
363.29,3.799999952316284,4687.0,0.0018056808039546013,0.0008748372201807797,2.69702410697937,-0.0012435942189767957,0.45858368277549744,0.1287548542022705,8.0,2048.0,65.68857988389209,131072.0
324.26,3.5999999046325684,4258.0,0.00118341448251158,0.001953125,2.694181203842163,-0.00174459267873317,0.6648978590965271,0.14312297105789185,9.0,2304.0,69.53674343787134,147456.0
249.58,3.700000047683716,4404.0,0.002151604974642396,0.0115966796875,2.6849277019500732,-0.0024381547700613737,0.41836443543434143,0.19604569673538208,10.0,2560.0,73.25745267886668,163840.0
288.83,4.0,4426.0,0.001453216071240604,0.0059611001051962376,2.6836891174316406,-0.002389060566201806,0.4181393086910248,0.22649651765823364,11.0,2816.0,76.96024644887075,180224.0
333.47,3.4000000953674316,4395.0,0.0014328612014651299,0.0012613931903615594,2.6935222148895264,-0.0020027942955493927,0.21598489582538605,0.2717694044113159,12.0,3072.0,80.68898296286352,196608.0
358.46,2.5,4205.0,0.0031581788789480925,0.0329996757209301,2.694185495376587,-0.0028719205874949694,0.4584495723247528,0.24121826887130737,13.0,3328.0,84.58559231483378,212992.0
366.8,3.5999999046325684,4341.0,0.004264484159648418,0.0492960624396801,2.684840440750122,-0.0036739495117217302,0.3513607978820801,0.2293088436126709,14.0,3584.0,88.3603303770069,229376.0
354.29,5.099999904632568,4071.0,0.004003089386969805,0.02880859375,2.6732072830200195,-0.0015306455316022038,0.7828143239021301,0.20974695682525635,15.0,3840.0,92.38696575397626,245760.0
274.76,5.199999809265137,4287.0,0.0023845189716666937,0.010986328125,2.667762517929077,-0.0029995981603860855,0.6012231111526489,0.27594542503356934,16.0,4096.0,96.20899230986834,262144.0
260.62,5.099999904632568,4222.0,0.003957552369683981,0.03509521484375,2.6809933185577393,-0.004383930936455727,0.47153472900390625,0.3142997622489929,17.0,4352.0,100.09012018493377,278528.0
266.95,5.099999904632568,4124.0,0.004428443033248186,0.0556844063103199,2.665631055831909,-0.0043123443610966206,0.6382342576980591,0.3613177537918091,18.0,4608.0,104.06375014595687,294912.0
254.86,4.5,4199.0,0.005607293453067541,0.0698445662856102,2.645470380783081,-0.005556965712457895,0.7674413323402405,0.388968288898468,19.0,4864.0,107.96657100995071,311296.0
152.51,5.900000095367432,4041.0,0.005665006581693888,0.0727742537856102,2.630025863647461,-0.00354954251088202,0.9853672981262207,0.40859097242355347,20.0,5120.0,112.02129464782774,327680.0
175.33,5.300000190734863,4503.0,0.006944748107343912,0.0846150740981102,2.61683988571167,-0.005589439067989588,0.7625952363014221,0.4000849723815918,21.0,5376.0,115.66009011282586,344064.0
