eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
69.55357142857143,3.75,349.0,0.00031608823337592185,0.0,2.7077720165252686,-0.00060417311033234,0.6115827560424805,-0.008397221565246582,1.0,256.0,46.92539120884612,16384.0
108.93478260869566,4.34782600402832,4548.0,0.00025826177443377674,0.0,2.706402063369751,-0.0004315100086387247,0.5241124629974365,0.0114823579788208,2.0,512.0,50.53286894178018,32768.0
195.65,4.5,4782.0,0.002248228993266821,0.02142333984375,2.6998682022094727,-0.0022273689974099398,0.4407079517841339,0.0350801944732666,3.0,768.0,53.95978404581547,49152.0
370.72,4.199999809265137,4687.0,0.0009157691965810955,0.0028279621619731188,2.69486403465271,-0.0008433738839812577,0.35367023944854736,0.04523265361785889,4.0,1024.0,57.45633463282138,65536.0
413.13,3.0,4728.0,0.0015223488444462419,0.0030924479942768812,2.6895248889923096,-0.0014029140584170818,0.37122681736946106,0.077423095703125,5.0,1280.0,60.92199476691894,81920.0
419.87,2.5,5111.0,0.00236182427033782,0.008951823227107525,2.694378614425659,-0.00175062648486346,0.17310379445552826,0.1045723557472229,6.0,1536.0,64.12779014697298,98304.0
357.19,2.9000000953674316,4801.0,0.004262452479451895,0.0388387031853199,2.6827919483184814,-0.0024537439458072186,0.38385775685310364,0.07119631767272949,7.0,1792.0,67.54063538392074,114688.0
373.68,3.4000000953674316,4600.0,0.0025087485555559397,0.0084228515625,2.6804428100585938,-0.0016216892981901765,0.6462864279747009,0.08124107122421265,8.0,2048.0,71.104678011965,131072.0
338.49,3.700000047683716,4648.0,0.0034792388323694468,0.0146484375,2.665890693664551,-0.002674439689144492,0.35852253437042236,0.1407771110534668,9.0,2304.0,74.63013147679158,147456.0
312.03,3.9000000953674316,4873.0,0.002741335891187191,0.012919108383357525,2.67336106300354,-0.0016846060752868652,0.38372865319252014,0.1572335958480835,10.0,2560.0,77.99242551997304,163840.0
353.44,4.0,4863.0,0.0026683404576033354,0.009521484375,2.67889404296875,-0.0021945724729448557,0.30873480439186096,0.18847423791885376,11.0,2816.0,81.361588640837,180224.0
334.34,3.5999999046325684,4875.0,0.0024412134662270546,0.014973958022892475,2.684324264526367,-0.0033458685502409935,0.38748231530189514,0.18048548698425293,12.0,3072.0,84.72276857099496,196608.0
366.61,3.0,4725.0,0.0022059057373553514,0.008138020522892475,2.676372528076172,-0.0029577005188912153,0.5028972625732422,0.20528870820999146,13.0,3328.0,88.19242157088593,212992.0
315.54,3.9000000953674316,4778.0,0.004797487519681454,0.02870686911046505,2.6700170040130615,-0.004078473895788193,0.44780924916267395,0.23327964544296265,14.0,3584.0,91.62148121092469,229376.0
253.75,4.199999809265137,4651.0,0.00457888375967741,0.0400187186896801,2.6563913822174072,-0.0031680662650614977,0.6260907053947449,0.2591628432273865,15.0,3840.0,95.14489107183181,245760.0
236.96,4.599999904632568,4781.0,0.005073701497167349,0.0438639335334301,2.647578001022339,-0.005709027871489525,0.46538496017456055,0.3427034020423889,16.0,4096.0,98.57250850391574,262144.0
251.51,3.5,4686.0,0.003593919798731804,0.0263671875,2.6470000743865967,-0.0037316211964935064,0.3814692199230194,0.415347695350647,17.0,4352.0,102.0691424398683,278528.0
281.71,3.0999999046325684,4646.0,0.005565539468079805,0.07513427734375,2.652414083480835,-0.004496326204389334,0.17711304128170013,0.48046356439590454,18.0,4608.0,105.59612591098994,294912.0
333.07,3.200000047683716,4697.0,0.006154555361717939,0.0839029923081398,2.6570699214935303,-0.005039629992097616,0.2387125939130783,0.4413360357284546,19.0,4864.0,109.08434908185154,311296.0
253.08,4.400000095367432,4436.0,0.005796730052679777,0.0843912735581398,2.638906717300415,-0.004734597634524107,0.717731237411499,0.38345909118652344,20.0,5120.0,112.77803355292417,327680.0
208.62,5.0,4654.0,0.007174717262387276,0.0917765274643898,2.609600782394409,-0.005806226283311844,0.8285527229309082,0.39019322395324707,21.0,5376.0,116.29902288294397,344064.0
